Tid ;FT0010 Flow : (M³/t);;;
19-04-2018 06:10;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:11;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:12;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:13;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:14;66.5;;;
19-04-2018 06:15;66.5;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:15;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:16;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:17;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:18;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:19;65.8;;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:20;65.8;;;
19-04-2018 06:20;65.8;;;
